what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor MemU32 0x7e00104C  =  0x00000b45",1452725932191
error,log,,,"Failed command: monitor MemU32 0x7e001200  =  0x000150f8",1452725932293
error,log,,,"Failed command: monitor MemU32 0x7e001304  =  0x00000000",1452725932395
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000c0000",1452725932498
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00000000",1452725932600
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452725932703
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452725932804
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000a0000",1452725932906
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00080032",1452725933008
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000000",1452725933110
error,log,,,"Failed command: monitor speed 12000",1452725933414
error,log,,,"Failed command: load",1452725933616
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452725983895
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452725988572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1452726017594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452726020408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452726111189
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452726121854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452726144857
error,log,,,"Failed command: target remote localhost:2331",1452726144874
error,log,,,"Failed command: monitor endian little",1452726144975
error,log,,,"Failed command: monitor speed 30",1452726145076
error,log,,,"Failed command: monitor reset",1452726145178
error,log,,,"Failed command: monitor sleep 10",1452726145280
error,log,,,"Failed command: monitor reg cpsr = 0xd3",1452726145382
error,log,,,"Failed command: monitor cp15 7, 7, 0, 0 = 0x0",1452726145483
